s1max,s1mean,s1min,s2max,s2mean,s2min,s3max,s3mean,s3min,s4max,s4mean,s4min,s5max,s5mean,s5min,s6max,s6mean,s6min,target
47.5,31.05825,25,6.38,0.405458333,0,28.33,15.29666667,2,5.32,0.823541667,0,40.33,14.4071875,0,4.92,1.098104167,0,1
44,36.22839583,19,12.28,2.8316875,0,25.25,15.4245,5.5,9.5,3.119125,0,24.5,15.872375,2.5,9.98,3.4806875,0,0
44.33,36.68729167,26.5,12.89,2.973041667,0,28.25,18.39679167,8.33,9.63,2.976604167,0,24.67,16.48,3,8.19,3.0733125,0,0
45,37.1143125,25.33,10.84,2.73,0,27.25,16.66391667,3,10.57,3.138541667,0,23.33,16.48754167,6.75,9.5,3.076354167,0,0
47.4,43.9545,35,1.7,0.42625,0,29.75,22.12235417,6.5,4.44,0.4973125,0,38.5,35.58845833,29,1.79,0.493291667,0,1
44.75,36.863375,26.75,11.68,2.7573125,0,27,16.49475,7,9.01,3.013604167,0,23,16.58114583,8,8.81,2.7733125,0,0
44.25,36.95745833,26.25,8.64,2.420083333,0,26.5,15.31341667,7,8.06,2.784145833,0,22.25,15.98916667,2,8.34,2.934625,0,0
44.67,37.14483333,27.75,10.76,2.4190625,0,24.75,14.99847917,0,9,2.849625,0,23,16.77352083,0,8.75,2.8224375,0,0
45,36.81952083,27,10.47,2.600145833,0,25,15.302625,5.67,10.61,2.937020833,0,24.67,17.29627083,8.67,8.99,2.8875625,0,0
47.4,43.9545,35,1.7,0.42625,0,29.75,22.12235417,6.5,4.44,0.4973125,0,38.5,35.58845833,29,1.79,0.493291667,0,1
44.33,36.54166667,27,10.43,2.847958333,0,27.67,16.1560625,6,9.63,3.055458333,0,24.5,17.062625,7.67,9.18,3.225458333,0,0
44.25,35.75235417,18.5,12.6,3.328104167,0,27,16.05502083,5,9.46,2.871125,0,24.33,16.00127083,4,9.39,3.069666667,0,0
43.75,35.879875,19,11.2,3.4143125,0,26.5,16.690375,7.67,8.87,3.128354167,0,26.5,17.0783125,0,8.5,3.093020833,0,0
47.75,42.1798125,33,3,0.696041667,0,30,22.183625,8.5,5.15,0.989916667,0,38.67,33.49391667,20,2.18,0.613520833,0,1
43.5,36.24408333,23.33,9.71,2.736020833,0,28.5,18.43570833,7,9.78,3.129791667,0,27,18.49714583,7.67,11.15,3.5305,0,0
45,37.17704167,24.25,8.58,2.374208333,0,26.75,16.53108333,5.5,8.05,2.910604167,0,25.5,19.60725,7,9.34,2.921729167,0,0
51,42.7060625,34,4.85,0.5198125,0,23,10.90995833,0,5.72,0.3320625,0,22.25,4.303979167,0,4.97,0.5493125,0,0
41,39.66783333,39,1,0.583604167,0,15,10.83420833,0,2.49,0.3474375,0,14.5,5.779479167,0,3.49,0.6359375,0,0
47.75,42.1798125,33,3,0.696041667,0,30,22.183625,8.5,5.15,0.989916667,0,38.67,33.49391667,20,2.18,0.613520833,0,1
40.67,39.5061875,0,1,0.496479167,0,13.25,6.550083333,0,4.03,0.823854167,0,16.25,11.765625,0,3.19,0.622916667,0,0
40,39.43379167,39,1,0.422104167,0,12.2,5.841145833,0,3.27,0.399020833,0,18,10.89745833,0,4.06,0.582708333,0,0
40,39.34710417,39,0.5,0.366395833,0,11.33,4.382208333,0,3.54,0.502916667,0,18.67,16.2123125,7,3.5,0.588458333,0,0
48,43.45495833,37,1.58,0.378083333,0,27,15.79333333,5.75,10.03,0.849354167,0,33.5,23.03479167,8,5.26,0.679645833,0,1
56.25,47.325125,39,8.49,0.2743125,0,18.25,9.5319375,0,5.72,0.785729167,0,21,14.299125,0,5.72,0.766166667,0,0
30,27.716375,23.5,1.79,0.3636875,0,13.25,6.078104167,0,5.02,0.870041667,0,21,8.337020833,0,4.5,0.735395833,0,0
48,43.45495833,37,1.58,0.378083333,0,27,15.79333333,5.75,10.03,0.849354167,0,33.5,23.03479167,8,5.26,0.679645833,0,1
48.25,48.00416667,48,0.43,0.007166667,0,13,4.9005625,0,2.86,0.3973125,0,12,7.624895833,0,2.5,0.641229167,0,0
41,39.66783333,39,1,0.583604167,0,15,10.83420833,0,2.49,0.3474375,0,14.5,5.779479167,0,3.49,0.6359375,0,0
48,43.45495833,37,1.58,0.378083333,0,27,15.79333333,5.75,10.03,0.849354167,0,33.5,23.03479167,8,5.26,0.679645833,0,1
40,39.43379167,39,1,0.422104167,0,12.2,5.841145833,0,3.27,0.399020833,0,18,10.89745833,0,4.06,0.582708333,0,0
56.25,47.325125,39,8.49,0.2743125,0,18.25,9.5319375,0,5.72,0.785729167,0,21,14.299125,0,5.72,0.766166667,0,0
30,27.716375,23.5,1.79,0.3636875,0,13.25,6.0785625,0,5.02,0.871020833,0,21,8.3374375,0,4.5,0.734270833,0,0
45.75,41.6780625,33,2.83,0.535979167,0,28.25,19.0065625,3,6.42,0.841875,0,37.5,29.85708333,23.67,1.79,0.383291667,0,1
46,44.75395833,42.5,1.12,0.153916667,0,27.25,18.57960417,3.67,5.17,0.6253125,0,30.75,19.26508333,4.33,4.3,0.764083333,0,0
45.75,36.5600625,25.5,12.19,0.422166667,0,24,14.89483333,1,5.12,0.740520833,0,27,17.14972917,5.5,6.26,0.854833333,0,0
45.75,41.6780625,33,2.83,0.535979167,0,28.25,19.0065625,3,6.42,0.841875,0,37.5,29.85708333,23.67,1.79,0.383291667,0,1
38.67,32.90597917,27,2.49,0.45675,0,23.75,16.30591667,2.5,5.12,0.664791667,0,23.5,18.08722917,2,5.12,0.791354167,0,0
50.75,38.888375,27.5,6.06,0.3834375,0,23.25,14.85416667,1.5,6.02,0.654270833,0,23.75,16.52202083,0,5.17,0.840208333,0,0
45.75,41.6780625,33,2.83,0.535979167,0,28.25,19.0065625,3,6.42,0.841875,0,37.5,29.85708333,23.67,1.79,0.383291667,0,1
45,42.8219833,42,1.12,0.335678497,0,23,17.19970772,0,5.45,0.531189979,0,23,16.02565762,1,6.36,0.856012526,0,0
46.5,43.19085417,41.75,1.5,0.266270833,0,21.67,14.8583125,0,4.64,0.510208333,0,22,16.04316667,5.67,5.45,0.806229167,0,0
48.5,40.21927083,35.25,3.28,0.617479167,0,23.5,14.85122917,0,5.12,0.872229167,0,27.33,15.16727083,0,6.36,1.057729167,0,0
48,43.969125,36.25,1.5,0.413125,0,26.33,15.86802083,1.5,5.17,0.666354167,0,30.75,22.10375,11.33,2.96,0.5553125,0,1
48.25,43.88483333,28.5,3.28,0.517354167,0,24.25,14.997375,0,6.98,1.0476875,0,25,14.92054167,1.5,7,1.354916667,0,0
45,42.11158333,39.5,1.09,0.3419375,0,21.8,11.44225,0,7.31,0.889395833,0,23,12.97391667,1,6.36,0.961166667,0,0
44.75,42.28266667,39.67,1,0.498354167,0,22.75,9.469541667,0,5.68,0.899645833,0,23.25,12.5371875,0,7.85,0.869,0,0
44.67,42.3601875,40,1,0.4825,0,23.5,12.88454167,2,5.93,0.6200625,0,26.67,15.2604375,2.5,4.64,0.7198125,0,0
48,43.969125,36.25,1.5,0.413125,0,26.33,15.86802083,1.5,5.17,0.666354167,0,30.75,22.10375,11.33,2.96,0.5553125,0,1
46,42.72885417,29.25,4.72,0.555333333,0,24,15.82364583,0,6.12,0.758270833,0,24,16.4089375,2,5.1,0.892083333,0,0
46.67,42.64852083,30,2.95,0.402833333,0,21.25,18.12929167,3,7.5,0.467979167,0,20.75,12.06041667,1,4.64,0.917354167,0,0
47.5,43.72002083,36,1.92,0.366708333,0,21,17.01027083,6.67,6.02,0.544333333,0,20.25,13.19827083,1,6.18,1.0396875,0,0
50,32.58620833,21,9.9,0.516125,0,28.25,13.941625,0,7.4,0.868895833,0,33.75,20.34570833,5,13.61,1.162041667,0,1
47.75,44.47114583,34.5,2.18,0.290479167,0,21.33,17.94854167,5,5.54,0.56625,0,19.67,13.21008333,1,4.32,0.927375,0,0
48,46.2249375,35.5,4.5,0.312354167,0,21,15.0316875,0,5.12,0.5985,0,21,13.39402083,2.5,6,0.882583333,0,0
48,46.93220833,29.75,4.6,0.429666667,0,21,16.84785417,6.5,6.52,0.5354375,0,21.25,13.281875,2.67,6.58,0.991125,0,0
47.67,45.399625,36.33,1.66,0.460145833,0,21.25,17.67139583,1.5,4.11,0.4413125,0,19.75,12.42854167,1,4.5,0.795104167,0,0
50,32.58620833,21,9.9,0.516125,0,28.25,13.941625,0,7.4,0.868895833,0,33.75,20.34570833,5,13.61,1.162041667,0,1
