s1mean,s2max,s2mean,s3max,s4mean,s5max,s5mean,s5min,s6max,s6mean,target
31.05825,6.38,0.405458333,28.33,0.823541667,40.33,14.4071875,0,4.92,1.098104167,1
36.22839583,12.28,2.8316875,25.25,3.119125,24.5,15.872375,2.5,9.98,3.4806875,0
36.68729167,12.89,2.973041667,28.25,2.976604167,24.67,16.48,3,8.19,3.0733125,0
37.1143125,10.84,2.73,27.25,3.138541667,23.33,16.48754167,6.75,9.5,3.076354167,0
43.9545,1.7,0.42625,29.75,0.4973125,38.5,35.58845833,29,1.79,0.493291667,1
36.863375,11.68,2.7573125,27,3.013604167,23,16.58114583,8,8.81,2.7733125,0
36.95745833,8.64,2.420083333,26.5,2.784145833,22.25,15.98916667,2,8.34,2.934625,0
37.14483333,10.76,2.4190625,24.75,2.849625,23,16.77352083,0,8.75,2.8224375,0
36.81952083,10.47,2.600145833,25,2.937020833,24.67,17.29627083,8.67,8.99,2.8875625,0
43.9545,1.7,0.42625,29.75,0.4973125,38.5,35.58845833,29,1.79,0.493291667,1
36.54166667,10.43,2.847958333,27.67,3.055458333,24.5,17.062625,7.67,9.18,3.225458333,0
35.75235417,12.6,3.328104167,27,2.871125,24.33,16.00127083,4,9.39,3.069666667,0
35.879875,11.2,3.4143125,26.5,3.128354167,26.5,17.0783125,0,8.5,3.093020833,0
42.1798125,3,0.696041667,30,0.989916667,38.67,33.49391667,20,2.18,0.613520833,1
36.24408333,9.71,2.736020833,28.5,3.129791667,27,18.49714583,7.67,11.15,3.5305,0
37.17704167,8.58,2.374208333,26.75,2.910604167,25.5,19.60725,7,9.34,2.921729167,0
42.7060625,4.85,0.5198125,23,0.3320625,22.25,4.303979167,0,4.97,0.5493125,0
39.66783333,1,0.583604167,15,0.3474375,14.5,5.779479167,0,3.49,0.6359375,0
42.1798125,3,0.696041667,30,0.989916667,38.67,33.49391667,20,2.18,0.613520833,1
39.5061875,1,0.496479167,13.25,0.823854167,16.25,11.765625,0,3.19,0.622916667,0
39.43379167,1,0.422104167,12.2,0.399020833,18,10.89745833,0,4.06,0.582708333,0
39.34710417,0.5,0.366395833,11.33,0.502916667,18.67,16.2123125,7,3.5,0.588458333,0
43.45495833,1.58,0.378083333,27,0.849354167,33.5,23.03479167,8,5.26,0.679645833,1
47.325125,8.49,0.2743125,18.25,0.785729167,21,14.299125,0,5.72,0.766166667,0
27.716375,1.79,0.3636875,13.25,0.870041667,21,8.337020833,0,4.5,0.735395833,0
48.00416667,0.43,0.007166667,13,0.3973125,12,7.624895833,0,2.5,0.641229167,0
39.66783333,1,0.583604167,15,0.3474375,14.5,5.779479167,0,3.49,0.6359375,0
43.45495833,1.58,0.378083333,27,0.849354167,33.5,23.03479167,8,5.26,0.679645833,1
39.43379167,1,0.422104167,12.2,0.399020833,18,10.89745833,0,4.06,0.582708333,0
47.325125,8.49,0.2743125,18.25,0.785729167,21,14.299125,0,5.72,0.766166667,0
27.716375,1.79,0.3636875,13.25,0.871020833,21,8.3374375,0,4.5,0.734270833,0
41.6780625,2.83,0.535979167,28.25,0.841875,37.5,29.85708333,23.67,1.79,0.383291667,1
44.75395833,1.12,0.153916667,27.25,0.6253125,30.75,19.26508333,4.33,4.3,0.764083333,0
36.5600625,12.19,0.422166667,24,0.740520833,27,17.14972917,5.5,6.26,0.854833333,0
32.90597917,2.49,0.45675,23.75,0.664791667,23.5,18.08722917,2,5.12,0.791354167,0
38.888375,6.06,0.3834375,23.25,0.654270833,23.75,16.52202083,0,5.17,0.840208333,0
41.6780625,2.83,0.535979167,28.25,0.841875,37.5,29.85708333,23.67,1.79,0.383291667,1
42.8219833,1.12,0.335678497,23,0.531189979,23,16.02565762,1,6.36,0.856012526,0
43.19085417,1.5,0.266270833,21.67,0.510208333,22,16.04316667,5.67,5.45,0.806229167,0
40.21927083,3.28,0.617479167,23.5,0.872229167,27.33,15.16727083,0,6.36,1.057729167,0
43.969125,1.5,0.413125,26.33,0.666354167,30.75,22.10375,11.33,2.96,0.5553125,1
43.88483333,3.28,0.517354167,24.25,1.0476875,25,14.92054167,1.5,7,1.354916667,0
42.11158333,1.09,0.3419375,21.8,0.889395833,23,12.97391667,1,6.36,0.961166667,0
42.28266667,1,0.498354167,22.75,0.899645833,23.25,12.5371875,0,7.85,0.869,0
42.3601875,1,0.4825,23.5,0.6200625,26.67,15.2604375,2.5,4.64,0.7198125,0
43.969125,1.5,0.413125,26.33,0.666354167,30.75,22.10375,11.33,2.96,0.5553125,1
42.72885417,4.72,0.555333333,24,0.758270833,24,16.4089375,2,5.1,0.892083333,0
42.64852083,2.95,0.402833333,21.25,0.467979167,20.75,12.06041667,1,4.64,0.917354167,0
43.72002083,1.92,0.366708333,21,0.544333333,20.25,13.19827083,1,6.18,1.0396875,0
32.58620833,9.9,0.516125,28.25,0.868895833,33.75,20.34570833,5,13.61,1.162041667,1
44.47114583,2.18,0.290479167,21.33,0.56625,19.67,13.21008333,1,4.32,0.927375,0
46.2249375,4.5,0.312354167,21,0.5985,21,13.39402083,2.5,6,0.882583333,0
